CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC
cg01697719,0.0064,0.0516,0.0098,0.0071,0.0103,0.0063
cg06585708,0.0186,0.1869,0.0374,0.0283,0.0741,0.008
cg26991199,0.0323,0.0314,0.0306,0.0275,0.0305,0.0282
cg00642306,0.0155,0.0324,0.0246,0.0315,0.0316,0.0218
cg11894951,0.0353,0.0495,0.0452,0.0409,0.0458,0.0352
cg02016130,0.1741,0.167,0.0575,0.1783,0.0474,0.1678
cg07074543,0.0254,0.0352,0.0542,0.0439,0.0511,0.0356
cg03323696,0.0653,0.3028,0.1973,0.0778,0.3446,0.1071
cg08466792,0.0183,0.2131,0.0672,0.0324,0.1595,0.0223
cg05916707,0.0623,0.0808,0.0813,0.0544,0.0821,0.067
cg11641791,0.0635,0.1282,0.3033,0.0812,0.4248,0.0524
cg23776012,0.0882,0.1516,0.2447,0.107,0.3014,0.0783
cg10050661,0.1325,0.2288,0.3834,0.1641,0.4566,0.1162
cg12029804,0.0965,0.1687,0.2221,0.1121,0.2964,0.0885
cg03804272,0.0936,0.1298,0.0954,0.0729,0.1341,0.153
cg03061122,0.0035,0.0051,0.0039,0.0047,0.0041,0.0041
cg23748923,0.0073,0.0277,0.0067,0.005,0.0082,0.0036
cg20402552,0.009,0.0242,0.0161,0.011,0.0186,0.008
cg15138883,0.0098,0.0119,0.0119,0.0076,0.01,0.0068
cg23837867,0.0469,0.0684,0.0516,0.0445,0.0525,0.0431
cg19105122,0.0124,0.0115,0.0106,0.007,0.0098,0.0129
cg20979233,0.0056,0.0157,0.0163,0.0144,0.0159,0.014
cg22975160,0.0064,0.0107,0.01,0.0078,0.0151,0.0072
cg11452571,0.0049,0.0115,0.0128,0.0136,0.0219,0.0096
cg08651867,0.0083,0.0083,0.0105,0.0116,0.0121,0.0088
cg10001282,0.0163,0.026,0.0387,0.0212,0.0396,0.0212
cg05956462,0.0269,0.0498,0.055,0.0393,0.0404,0.0368
cg00385863,0.0104,0.0171,0.0093,0.0103,0.01,0.0136
cg20724810,0.0132,0.0295,0.0161,0.013,0.0175,0.0106
cg11088422,0.0302,0.0624,0.0325,0.0324,0.0308,0.0347
cg01122302,0.0382,0.0747,0.05,0.0436,0.0447,0.0381
cg27537203,0.0235,0.0279,0.0342,0.0184,0.0401,0.0232
cg00523012,0.0157,0.0163,0.0184,0.0169,0.0145,0.0146
cg05974816,0.0314,0.0356,0.0315,0.0301,0.0338,0.0287
cg04674803,0.026,0.061,0.0421,0.0261,0.0409,0.0299
cg00794178,0.0248,0.0797,0.0366,0.0253,0.0447,0.0252
cg08794939,0.0102,0.0126,0.0115,0.0073,0.011,0.013
cg16596102,0.0188,0.0262,0.0334,0.0291,0.049,0.017
cg10188897,0.019,0.0229,0.0226,0.0212,0.022,0.0304
cg02899346,0.0289,0.0358,0.053,0.0382,0.1016,0.0339
cg19716433,0.006,0.0107,0.0133,0.0101,0.0206,0.0088
cg11990562,0.0186,0.0168,0.02,0.0226,0.0163,0.0184
cg04525491,0.0286,0.0404,0.0392,0.0332,0.0272,0.028
cg20495404,0.0251,0.0399,0.0495,0.0244,0.0345,0.0274
cg00473416,0.0284,0.073,0.0445,0.0369,0.0597,0.0346
cg25660386,0.0074,0.0098,0.01,0.0107,0.0073,0.0106
cg05278650,0.0174,0.0206,0.0213,0.0178,0.023,0.0198
cg13612175,0.0366,0.032,0.037,0.0353,0.0283,0.0336
cg25660386,0.0074,0.0098,0.01,0.0107,0.0073,0.0106
cg05278650,0.0174,0.0206,0.0213,0.0178,0.023,0.0198
cg08134631,0.0208,0.0934,0.0294,0.0239,0.0717,0.0165
cg14758218,0.0442,0.0566,0.0448,0.0459,0.0437,0.0487
cg17323383,0.0252,0.0531,0.04,0.0301,0.0409,0.0296
cg04547244,0.0078,0.0084,0.0091,0.0088,0.0097,0.0091
cg14262681,0.0085,0.0572,0.0248,0.0085,0.0439,0.0061
cg00438215,0.0255,0.022,0.029,0.026,0.0383,0.0232
cg17768491,0.0219,0.196,0.0408,0.0535,0.0877,0.0183
cg12248614,0.0146,0.1258,0.0212,0.0264,0.0454,0.0101
cg01660473,0.0718,0.1019,0.0816,0.0529,0.0873,0.068
cg08603188,0.0403,0.0708,0.063,0.0424,0.0557,0.0439
cg25546248,0.084,0.1323,0.1035,0.0804,0.1201,0.0854
cg12396325,0.0063,0.05,0.0091,0.008,0.0383,0.0026
cg10696085,0.0155,0.0751,0.1098,0.0294,0.1296,0.0183
cg17017152,0.1597,0.1683,0.1788,0.1693,0.1628,0.1632
cg08037935,0.0292,0.0507,0.0296,0.0314,0.0262,0.0229
cg15125763,0.036,0.0635,0.0438,0.0372,0.0566,0.0404
cg05737526,0.0367,0.0432,0.0362,0.0362,0.0378,0.04
cg01660473,0.0718,0.1019,0.0816,0.0529,0.0873,0.068
cg08603188,0.0403,0.0708,0.063,0.0424,0.0557,0.0439
cg12899157,0.0551,0.0518,0.0658,0.0595,0.13,0.055
cg15555970,0.0104,0.0195,0.0209,0.0132,0.103,0.0139
cg21164232,0.053,0.069,0.1032,0.0622,0.1976,0.0529
cg10678427,0.0403,0.1232,0.0466,0.0513,0.0656,0.0488
cg18937330,0.0547,0.0487,0.0669,0.0542,0.0669,0.0499
cg07985890,0.0405,0.0412,0.0479,0.0421,0.0411,0.0465
cg13690864,0.0033,0.0045,0.0024,0.002,0.0059,0.0052
cg18577511,0.0347,0.0338,0.0378,0.0344,0.0358,0.0342
cg11088422,0.0302,0.0624,0.0325,0.0324,0.0308,0.0347
cg01122302,0.0382,0.0747,0.05,0.0436,0.0447,0.0381
cg00290994,0.0446,0.076,0.0611,0.0457,0.0758,0.0382
cg01184784,0.02,0.0195,0.0399,0.0206,0.0176,0.0236
cg09411730,0.0266,0.054,0.0714,0.0284,0.0904,0.0563
cg19027852,0.0166,0.021,0.0243,0.0204,0.0143,0.0178
cg06059056,0.0247,0.064,0.0587,0.0433,0.1075,0.0292
cg06710900,0.0648,0.1131,0.1255,0.0839,0.1666,0.068
cg27376136,0.0392,0.1912,0.1173,0.0624,0.1504,0.0359
cg09923107,0.0048,0.014,0.0125,0.008,0.0256,0.0045
cg09595202,0.0455,0.1102,0.0558,0.0459,0.0716,0.0499
cg22350070,0.0949,0.2204,0.1835,0.114,0.2212,0.0902
cg18913890,0.0394,0.1238,0.09,0.0508,0.1263,0.0347
cg04373435,0.0902,0.1936,0.1621,0.1404,0.1993,0.0921
cg23643814,0.023,0.075,0.0401,0.0264,0.062,0.0214
cg08118159,0.0074,0.0129,0.0113,0.0106,0.0161,0.0086
cg10227187,0.0165,0.0283,0.0273,0.0183,0.0426,0.0166
cg18019132,0.0474,0.0505,0.0542,0.0408,0.0478,0.043
cg02921887,0.0115,0.0208,0.014,0.0059,0.0157,0.0101
cg04951797,0.0748,0.1146,0.1239,0.05,0.1352,0.0575
cg07789559,0.0149,0.0162,0.0343,0.0152,0.0246,0.0185
cg04525491,0.0286,0.0404,0.0392,0.0332,0.0272,0.028
cg20495404,0.0251,0.0399,0.0495,0.0244,0.0345,0.0274
cg22097768,0.0593,0.0765,0.0708,0.08,0.0699,0.0702
cg18189994,0.0305,0.0627,0.0431,0.0314,0.0504,0.0286
cg12738347,0.0308,0.0586,0.0462,0.0296,0.0479,0.0297
cg25084101,0.0628,0.1239,0.0848,0.0663,0.0793,0.0722
cg02550231,0.0317,0.1,0.0654,0.0288,0.09,0.0296
cg17200920,0.0427,0.1229,0.0775,0.0633,0.0991,0.03
cg02383785,0.088,0.205,0.1607,0.1144,0.1917,0.0764
cg09337897,0.0779,0.0769,0.0614,0.061,0.0641,0.0762
cg02776664,0.021,0.0418,0.0582,0.0348,0.0494,0.025
cg08305551,0.0453,0.0786,0.0951,0.0753,0.0773,0.063
cg02558623,0.0162,0.0386,0.0299,0.0196,0.041,0.019
cg03446079,0.0132,0.0148,0.0123,0.0105,0.0122,0.0077
cg06874218,0.1663,0.1804,0.2272,0.171,0.2797,0.1675
cg21346639,0.0291,0.041,0.1781,0.0615,0.302,0.03
cg05001478,0.0428,0.0369,0.0596,0.0434,0.0699,0.0351
cg00346326,0.0781,0.0886,0.0806,0.076,0.0847,0.079
cg19154027,0.0898,0.114,0.0813,0.0838,0.1086,0.0751
cg07822305,0.0279,0.0252,0.0312,0.0261,0.026,0.0254
cg25743043,0.0058,0.0092,0.0105,0.007,0.0086,0.0078
cg23304296,0.0585,0.0709,0.0678,0.0638,0.0613,0.0621
cg16739845,0.0041,0.0091,0.006,0.0058,0.007,0.0053
cg16061381,0.0042,0.0037,0.0038,0.004,0.004,0.005
cg13874046,0.0556,0.0614,0.0628,0.0563,0.0546,0.0542
cg25019648,0.0122,0.1559,0.0162,0.0087,0.0216,0.0032
cg17768491,0.0219,0.196,0.0408,0.0535,0.0877,0.0183
cg12248614,0.0146,0.1258,0.0212,0.0264,0.0454,0.0101
cg08212230,0.0821,0.0573,0.0697,0.0784,0.0898,0.0786
cg22437153,0.0316,0.0408,0.0351,0.0302,0.0382,0.0275
cg16825290,0.0052,0.0044,0.0055,0.0065,0.0074,0.006
cg19590227,0.0284,0.0559,0.0859,0.0368,0.1218,0.0312
cg04305764,0.0646,0.0867,0.1178,0.0779,0.1541,0.0646
cg22481960,0.0107,0.0998,0.2513,0.0633,0.3993,0.0119
cg01660473,0.0718,0.1019,0.0816,0.0529,0.0873,0.068
cg25546248,0.084,0.1323,0.1035,0.0804,0.1201,0.0854
cg13727849,0.0161,0.0412,0.0369,0.0273,0.0402,0.0172
cg01237565,0.01,0.0144,0.0237,0.0109,0.0191,0.0165
cg19597031,0.0222,0.027,0.0294,0.0257,0.0262,0.0246
cg11452571,0.0049,0.0115,0.0128,0.0136,0.0219,0.0096
cg08651867,0.0083,0.0083,0.0105,0.0116,0.0121,0.0088
cg12565585,0.0548,0.1133,0.0841,0.0597,0.1213,0.0558
cg25259711,0.0753,0.101,0.0874,0.0725,0.1025,0.0734
cg14029489,0.0256,0.0425,0.0398,0.0312,0.0792,0.0258
cg22487414,0.0455,0.1123,0.0952,0.0511,0.1038,0.0401
cg20434926,0.014,0.042,0.1474,0.0373,0.2841,0.0149
cg02036387,0.0292,0.0574,0.0666,0.037,0.062,0.0313
cg01053411,0.0207,0.0297,0.0266,0.023,0.0214,0.0256
cg04145264,0.0433,0.0506,0.0566,0.048,0.0518,0.0486
cg04017769,0.0017,0.0017,0.0034,0.0026,0.0021,0.0019
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279
cg03701001,0.0032,0.0028,0.0044,0.0032,0.0024,0.0047
cg06663068,0.002,0.0034,0.004,0.0018,0.0019,0.0052
cg21746851,0.0035,0.0029,0.0045,0.0028,0.0048,0.0029
cg12060306,0.0048,0.0109,0.0058,0.0031,0.0084,0.0016
cg04290779,0.004,0.0072,0.007,0.0053,0.0056,0.0043
cg06554120,0.0064,0.046,0.0145,0.0084,0.0446,0.0047
cg10864074,0.0026,0.02,0.0125,0.0081,0.0229,0.0044
cg20893717,0.0031,0.0141,0.0138,0.0061,0.0233,0.007
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279
cg26005578,0.0104,0.0371,0.0119,0.0106,0.0167,0.0109
cg08876434,0.0337,0.0993,0.0481,0.0319,0.0646,0.0184
cg25344734,0.0736,0.1248,0.091,0.0557,0.0964,0.0687
cg25110126,0.0045,0.0095,0.0058,0.0079,0.0102,0.0031
cg04275806,0.0764,0.094,0.0891,0.0781,0.0965,0.0693
cg06663068,0.002,0.0034,0.004,0.0018,0.0019,0.0052
cg21746851,0.0035,0.0029,0.0045,0.0028,0.0048,0.0029
cg10864074,0.0026,0.02,0.0125,0.0081,0.0229,0.0044
cg20893717,0.0031,0.0141,0.0138,0.0061,0.0233,0.007
cg01224063,0.0118,0.0108,0.0116,0.0104,0.0125,0.0127
cg16061381,0.0042,0.0037,0.0038,0.004,0.004,0.005
cg13874046,0.0556,0.0614,0.0628,0.0563,0.0546,0.0542
cg05804220,0.04,0.1801,0.083,0.0466,0.137,0.0304
cg10583297,0.011,0.0647,0.0164,0.0148,0.0335,0.0117
cg10496082,0.0114,0.042,0.0142,0.0104,0.0223,0.0097
cg24505618,0.0539,0.198,0.099,0.0523,0.1536,0.0389
cg16645133,0.0128,0.0079,0.0255,0.0174,0.0297,0.0116
cg24120357,0.0741,0.0732,0.1002,0.0979,0.0955,0.0795
cg16739845,0.0041,0.0091,0.006,0.0058,0.007,0.0053
cg06358970,0.0022,0.0032,0.0083,0.0025,0.0037,0.0041
cg09453116,0.0067,0.0057,0.0068,0.0054,0.0052,0.006
cg02727363,0.015,0.0198,0.0126,0.0131,0.0135,0.0128
cg11996632,0.0644,0.0729,0.066,0.0595,0.064,0.0587
cg01060026,0.0074,0.0093,0.0096,0.0057,0.0087,0.0079
cg08815398,0.0107,0.0104,0.0151,0.0081,0.0112,0.0094
cg23013309,0.0501,0.0578,0.0595,0.0551,0.0548,0.0504
cg06277900,0.01,0.0159,0.0151,0.01,0.0186,0.0127
cg10034364,0.0132,0.0516,0.0204,0.0088,0.018,0.0132
cg15992563,0.0665,0.1458,0.0923,0.0699,0.0933,0.0697
cg01193690,0.0597,0.0949,0.0775,0.0627,0.072,0.0528
cg12539796,0.0066,0.033,0.0167,0.0134,0.029,0.0039
cg09594067,0.0193,0.0188,0.0214,0.0133,0.0197,0.0157
cg03585419,0.0089,0.0222,0.0106,0.0094,0.0066,0.0108
cg00153856,0.0098,0.0109,0.0116,0.0111,0.0113,0.0096
cg18191418,0.0068,0.0065,0.0066,0.0034,0.0041,0.006
cg17466946,0.0168,0.014,0.0196,0.014,0.0172,0.0141
cg26087598,0.0562,0.0628,0.0583,0.0539,0.0569,0.0595
cg25181507,0.0278,0.0336,0.0312,0.0291,0.0325,0.034
cg17976191,0.0151,0.0676,0.1365,0.0149,0.185,0.025
cg11758861,0.0069,0.0524,0.0754,0.0088,0.0931,0.0091
cg20707679,0.0035,0.0049,0.0034,0.0025,0.0033,0.0039
cg26026416,0.0309,0.0363,0.0361,0.0238,0.0301,0.0312
cg03764259,0.0128,0.0513,0.0322,0.016,0.0346,0.0219
cg14652131,0.0238,0.0875,0.0569,0.0492,0.1249,0.0245
cg12024828,0.0085,0.0198,0.0143,0.0185,0.0401,0.0072
cg14019323,0.0149,0.028,0.0167,0.0154,0.0162,0.0154
cg01881939,0.0046,0.0062,0.008,0.0068,0.0073,0.006
cg20353496,0.0073,0.0094,0.0086,0.0061,0.0104,0.0136
cg20364050,0.0271,0.0278,0.0261,0.0223,0.0214,0.025
cg01961447,0.0102,0.0267,0.0153,0.0125,0.0245,0.007
cg16616449,0.0197,0.0229,0.0262,0.0171,0.0229,0.0249
cg10533277,0.003,0.0036,0.0055,0.0028,0.0047,0.0052
cg09044296,0.1065,0.1224,0.1342,0.1218,0.125,0.1144
cg10424454,0.0793,0.082,0.0994,0.0918,0.0846,0.1021
cg11633126,0.0122,0.0273,0.0561,0.0356,0.0248,0.0534
cg11270070,0.0159,0.024,0.0314,0.0802,0.1008,0.0146
cg23208152,0.0057,0.0093,0.0136,0.0365,0.0377,0.0089
cg20289346,0.0187,0.0475,0.0232,0.0204,0.0204,0.0169
cg23684878,0.0117,0.0196,0.0171,0.011,0.0168,0.0114
cg11832404,0.08,0.0967,0.096,0.0846,0.097,0.0827
cg05804220,0.04,0.1801,0.083,0.0466,0.137,0.0304
cg10583297,0.011,0.0647,0.0164,0.0148,0.0335,0.0117
cg10496082,0.0114,0.042,0.0142,0.0104,0.0223,0.0097
cg24505618,0.0539,0.198,0.099,0.0523,0.1536,0.0389
cg15045802,0.0092,0.0131,0.0168,0.0194,0.0299,0.0098
cg02161471,0.0694,0.0775,0.0842,0.0752,0.089,0.072
cg04772683,0.01,0.0536,0.0236,0.0126,0.025,0.0082
cg01524174,0.002,0.0144,0.0076,0.0069,0.0196,0.003
cg15754548,0.0176,0.0198,0.0208,0.017,0.0162,0.0226
cg23045255,0.0205,0.0258,0.0244,0.0188,0.0198,0.0203
cg13499300,0.0194,0.11,0.0233,0.0155,0.0186,0.0167
cg23305567,0.01,0.038,0.0106,0.0052,0.0092,0.0067
cg05337743,0.012,0.0294,0.0128,0.0126,0.0119,0.0113
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279
cg06508783,0.0094,0.0136,0.0131,0.009,0.0089,0.0081
cg12046168,0.0071,0.0089,0.0112,0.0105,0.017,0.0264
cg16253840,0.0164,0.016,0.02,0.016,0.0204,0.0205
cg27212234,0.0058,0.0177,0.011,0.0046,0.0143,0.0056
cg17093995,0.0053,0.0264,0.0125,0.0074,0.0268,0.0034
cg01237565,0.01,0.0144,0.0237,0.0109,0.0191,0.0165
cg17225129,0.0082,0.0043,0.0046,0.0035,0.0036,0.0116
cg26381352,0.0108,0.0107,0.0105,0.0113,0.0126,0.0127
cg21387418,0.0089,0.0086,0.011,0.009,0.0092,0.0097
cg27373972,0.0102,0.0105,0.0117,0.0084,0.0101,0.0115
cg19156220,0.0241,0.0248,0.0273,0.0234,0.0255,0.0279
cg16427096,0.0048,0.0038,0.0059,0.0079,0.0088,0.0046
cg03114585,0.0016,0.0049,0.0104,0.0084,0.0052,0.0051
cg21789280,0.0557,0.0632,0.0678,0.0542,0.0641,0.059
cg04223671,0.0066,0.0094,0.0183,0.0072,0.0205,0.0045
cg14248553,0.0521,0.0684,0.0994,0.0706,0.1073,0.0566
cg25360181,0.0146,0.0366,0.0278,0.0226,0.0371,0.0145
cg04092762,0.0104,0.0262,0.0127,0.0141,0.0188,0.014
cg10424454,0.0793,0.082,0.0994,0.0918,0.0846,0.1021
cg13945107,0.0098,0.0245,0.047,0.0278,0.0304,0.0399
cg14944575,0.0172,0.0232,0.0333,0.0207,0.021,0.0248
cg07629094,0.045,0.0376,0.0484,0.0388,0.0421,0.0393
cg25868998,0.0067,0.026,0.0186,0.0094,0.0219,0.009
cg09920557,0.0049,0.0047,0.006,0.0063,0.0082,0.0043
cg25054907,0.0564,0.0627,0.063,0.0602,0.0615,0.06
cg23525243,0.0344,0.0418,0.0448,0.0369,0.0494,0.0417
cg08873912,0.1218,0.1211,0.1348,0.1166,0.1207,0.1141
cg06807966,0.028,0.0297,0.0278,0.0288,0.0292,0.0278
cg24165760,0.0078,0.0195,0.0026,0.0073,0.0071,0.0047
cg01248080,0.0241,0.0228,0.0254,0.0202,0.0192,0.0243
cg03989125,0.0166,0.0188,0.0199,0.0201,0.019,0.0175
cg02602699,0.0169,0.0206,0.0197,0.0155,0.0168,0.0186
cg22219254,0.0224,0.0272,0.0306,0.0194,0.0278,0.0229
cg19664267,0.0084,0.0098,0.0093,0.0091,0.009,0.0076
cg15543281,0.0045,0.0071,0.0076,0.0048,0.0072,0.0077
cg06181784,0.0211,0.0216,0.0222,0.0227,0.0205,0.0244
cg02131967,0.0123,0.025,0.0187,0.0118,0.022,0.0113
cg13584718,0.0164,0.0181,0.043,0.0102,0.0169,0.0134
cg19665644,0.0179,0.0409,0.0244,0.0212,0.0255,0.0202
cg20918243,0.0658,0.117,0.0833,0.0674,0.0989,0.0658
cg09596429,0.0647,0.1216,0.0923,0.07,0.1039,0.0594
cg25481474,0.0466,0.0525,0.0477,0.0518,0.0549,0.0389
cg20754145,0.0302,0.0306,0.0373,0.0351,0.039,0.032
cg16616449,0.0197,0.0229,0.0262,0.0171,0.0229,0.0249
cg10533277,0.003,0.0036,0.0055,0.0028,0.0047,0.0052
cg09044296,0.1065,0.1224,0.1342,0.1218,0.125,0.1144
cg14871628,0.012,0.0154,0.0113,0.0141,0.0152,0.0153
cg04378107,0.0295,0.031,0.0248,0.026,0.0303,0.0276
cg04529785,0.01,0.0728,0.0172,0.0089,0.0453,0.0074
cg11979743,0.0089,0.0104,0.011,0.0088,0.008,0.0091
cg17793059,0.0226,0.0227,0.0165,0.0163,0.0172,0.0194
cg16745616,0.095,0.0932,0.0948,0.0946,0.0823,0.0927
cg19664267,0.0084,0.0098,0.0093,0.0091,0.009,0.0076
cg15543281,0.0045,0.0071,0.0076,0.0048,0.0072,0.0077
cg27098900,0.0244,0.0233,0.0256,0.0252,0.0312,0.0256
cg19182353,0.0104,0.0085,0.0046,0.0052,0.0019,0.0057
cg02119927,0.0074,0.0089,0.0086,0.0082,0.0108,0.013
cg14685095,0.0075,0.022,0.0148,0.0085,0.0176,0.0066
cg04241652,0.0154,0.0717,0.0187,0.0171,0.0269,0.0108
cg18912855,0.0158,0.0532,0.0418,0.0757,0.0336,0.0066
cg16094412,0.005,0.0099,0.0086,0.0063,0.0084,0.0076
cg26243894,0.0025,0.0056,0.0049,0.0028,0.0035,0.0051
cg12155013,0.0239,0.0251,0.023,0.0193,0.0252,0.0241
cg21126344,0.0134,0.0221,0.0215,0.011,0.0387,0.0094
cg05415131,0.0278,0.0328,0.07,0.048,0.1044,0.0292
cg19664267,0.0084,0.0098,0.0093,0.0091,0.009,0.0076
cg27098900,0.0244,0.0233,0.0256,0.0252,0.0312,0.0256
cg01272707,0.0055,0.0057,0.005,0.0019,0.0044,0.0054
cg07822305,0.0279,0.0252,0.0312,0.0261,0.026,0.0254
cg25743043,0.0058,0.0092,0.0105,0.007,0.0086,0.0078
cg23304296,0.0585,0.0709,0.0678,0.0638,0.0613,0.0621
cg10025396,0.0046,0.0048,0.0043,0.0036,0.0051,0.0044
cg21617762,0.0165,0.0273,0.0222,0.0133,0.0385,0.0154
cg02379082,0.1053,0.1283,0.1351,0.1167,0.1485,0.1056
cg08124910,0.0036,0.0049,0.0062,0.0075,0.0056,0.006
cg01627847,0.0053,0.0079,0.0096,0.0059,0.0045,0.008
cg03048083,0.0136,0.0155,0.0176,0.0111,0.0122,0.0127
cg17222164,0.0449,0.0493,0.0486,0.049,0.0454,0.0441
cg00149473,0.0121,0.01,0.0128,0.0094,0.0176,0.0138
cg14862207,0.018,0.0199,0.0195,0.0172,0.021,0.0158
cg03026373,0.003,0.0049,0.004,0.0084,0.0062,0.0048
cg04138361,0.0083,0.0072,0.0092,0.0078,0.0086,0.0067
cg11384924,0.1796,0.1979,0.1942,0.1857,0.1982,0.1898
cg27181765,0.0159,0.0169,0.0222,0.0171,0.0208,0.0194
cg13586420,0.008,0.0093,0.0064,0.0054,0.0084,0.0108
cg04770813,0.0172,0.016,0.0164,0.0148,0.0129,0.0138
cg01635061,0.081,0.0878,0.0893,0.0742,0.1101,0.0768
cg19069346,0.0323,0.0448,0.0412,0.036,0.0567,0.0304
cg12938068,0.0444,0.0745,0.0461,0.0446,0.052,0.051
cg14862207,0.018,0.0199,0.0195,0.0172,0.021,0.0158
cg03026373,0.003,0.0049,0.004,0.0084,0.0062,0.0048
cg02558623,0.0162,0.0386,0.0299,0.0196,0.041,0.019
cg08124910,0.0036,0.0049,0.0062,0.0075,0.0056,0.006
cg01627847,0.0053,0.0079,0.0096,0.0059,0.0045,0.008
cg03048083,0.0136,0.0155,0.0176,0.0111,0.0122,0.0127
cg17222164,0.0449,0.0493,0.0486,0.049,0.0454,0.0441
cg01663018,0.007,0.0329,0.016,0.0085,0.0175,0.0058
cg00860379,0.0525,0.109,0.0837,0.0578,0.0943,0.059
cg18189994,0.0305,0.0627,0.0431,0.0314,0.0504,0.0286
cg12738347,0.0308,0.0586,0.0462,0.0296,0.0479,0.0297
cg14359435,0.0056,0.0072,0.0096,0.0062,0.0067,0.0096
cg25538627,0.0336,0.0316,0.0279,0.0373,0.0327,0.0291
cg23928165,0.0018,0.0025,0.003,0.0033,0.0044,0.0035
cg15273468,0.0323,0.0442,0.0366,0.052,0.046,0.0362
cg08124910,0.0036,0.0049,0.0062,0.0075,0.0056,0.006
cg01627847,0.0053,0.0079,0.0096,0.0059,0.0045,0.008
cg03048083,0.0136,0.0155,0.0176,0.0111,0.0122,0.0127
cg17222164,0.0449,0.0493,0.0486,0.049,0.0454,0.0441
cg07822305,0.0279,0.0252,0.0312,0.0261,0.026,0.0254
cg25743043,0.0058,0.0092,0.0105,0.007,0.0086,0.0078
cg23304296,0.0585,0.0709,0.0678,0.0638,0.0613,0.0621
cg11956396,0.0316,0.0391,0.0373,0.0451,0.0447,0.0351
cg12293340,0.0065,0.0085,0.01,0.0067,0.0077,0.0073
cg04194674,0.0059,0.0083,0.0066,0.0094,0.0076,0.0078
cg08822360,0.0638,0.0638,0.0773,0.067,0.0765,0.0638
cg08151063,0.0514,0.0542,0.0604,0.0575,0.0567,0.0563
cg27209395,0.0356,0.0398,0.0495,0.0216,0.0377,0.0318
cg13738140,0.0059,0.0143,0.0094,0.011,0.0068,0.0073
cg22049858,0.0176,0.0214,0.0169,0.0169,0.0193,0.0174
cg17179875,0.0102,0.0124,0.0104,0.009,0.0118,0.0148
cg05039004,0.0025,0.0103,0.0079,0.0057,0.007,0.0028
cg22973319,0.0045,0.0079,0.0077,0.0059,0.0047,0.0071
cg08822360,0.0638,0.0638,0.0773,0.067,0.0765,0.0638
cg08151063,0.0514,0.0542,0.0604,0.0575,0.0567,0.0563
cg12865381,0.0592,0.0573,0.0634,0.0608,0.0676,0.0558
cg23274680,0.0446,0.0635,0.0649,0.0502,0.0706,0.0508
cg07759570,0.0231,0.0198,0.025,0.025,0.0229,0.0234
cg12352124,0.0486,0.0822,0.0695,0.0536,0.0717,0.0427
cg00860379,0.0525,0.109,0.0837,0.0578,0.0943,0.059
cg19716433,0.006,0.0107,0.0133,0.0101,0.0206,0.0088
cg04138361,0.0083,0.0072,0.0092,0.0078,0.0086,0.0067
cg13586420,0.008,0.0093,0.0064,0.0054,0.0084,0.0108
cg04770813,0.0172,0.016,0.0164,0.0148,0.0129,0.0138
cg26944851,0.0605,0.0504,0.0544,0.0388,0.0623,0.0454
cg23636941,0.0623,0.1,0.0916,0.0578,0.099,0.058
cg12002708,0.0121,0.0232,0.0199,0.0126,0.024,0.017
cg09250727,0.0369,0.06,0.055,0.042,0.0599,0.0389
cg03876823,0.0947,0.1031,0.0881,0.0854,0.1009,0.0973
cg18189994,0.0305,0.0627,0.0431,0.0314,0.0504,0.0286
cg12738347,0.0308,0.0586,0.0462,0.0296,0.0479,0.0297
cg12804010,0.027,0.0887,0.0497,0.038,0.0604,0.0274
cg11166108,0.047,0.0468,0.0481,0.0404,0.0431,0.0456
cg16201038,0.0571,0.1364,0.08,0.0539,0.1018,0.05
cg09662694,0.0394,0.0488,0.0504,0.0416,0.05,0.0377
cg03128635,0.009,0.0127,0.0104,0.0059,0.011,0.0064
cg12930553,0.0374,0.054,0.0694,0.0435,0.0802,0.034
cg18815025,0.0407,0.0481,0.0515,0.0508,0.0512,0.0408
cg14694342,0.0106,0.0191,0.0136,0.0092,0.0111,0.011
cg18058994,0.0039,0.003,0.005,0.0034,0.006,0.0051
cg20898829,0.025,0.0307,0.0275,0.0218,0.0234,0.0246
cg20334252,0.0365,0.0696,0.0602,0.0455,0.0621,0.034
